DbId,DatasetName,Order,TvVariableName,TvVariableLabel,HasDependants,IsListed,IsEnabled,DefaultExported,TvVariablePath,TvTags,TvMetadataConfigUrl,TreeviewId,VisibilityGroupId,IsRenderedOnInit,DisableRendering,DisabledReason,Description,Tags
1,bng_outline,601,objectid,OBJECTID,,False,False,,,,,1,1,False,False,,,
101,bng_outline,602,SHAPE__Area,SHAPE__Area,,False,False,,,,,1,1,False,False,,,
201,bng_outline,603,st_perimeter(shape),st_perimeter(shape),,False,False,,,,,1,1,False,False,,,
301,tiles_100_km,701,oid,OID,,False,False,,,,,1,1,False,False,,,
401,tiles_100_km,702,tilename,TILENAME,,True,False,,,,,1,1,False,False,,,
501,tiles_100_km,703,SHAPE__Area,SHAPE__Area,,False,False,,,,,1,1,False,False,,,
601,tiles_100_km,704,st_perimeter(shape),st_perimeter(shape),,False,False,,,,,1,1,False,False,,,
701,tiles_50_km,801,oid,OID,,False,False,,,,,1,1,False,False,,,
801,tiles_50_km,802,tilename,TILENAME,,True,False,,,,,1,1,False,False,,,
901,tiles_50_km,803,SHAPE__Area,SHAPE__Area,,False,False,,,,,1,1,False,False,,,
1001,tiles_50_km,804,st_perimeter(shape),st_perimeter(shape),,False,False,,,,,1,1,False,False,,,
1101,tiles_20_km,901,oid,OID,,False,True,,,,,1,1,False,False,,,
1201,tiles_20_km,902,tilename,TILENAME,,True,True,,,,,1,1,False,False,,,
1301,tiles_20_km,903,SHAPE__Area,SHAPE__Area,,False,True,,,,,1,1,False,False,,,
1401,tiles_20_km,904,st_perimeter(shape),st_perimeter(shape),,False,True,,,,,1,1,False,False,,,
1501,tiles_10_km,1001,oid,OID,,False,True,,,,,1,1,False,False,,,
1601,tiles_10_km,1002,tilename,TILENAME,,True,True,,,,,1,1,False,False,,,
1701,tiles_10_km,1003,SHAPE__Area,SHAPE__Area,,False,True,,,,,1,1,False,False,,,
1801,tiles_10_km,1004,st_perimeter(shape),st_perimeter(shape),,False,True,,,,,1,1,False,False,,,
